key,airport_name,carrier_name,reason,avg_delay,total_ct
1,"Aberdeen, SD: Aberdeen Regional",SkyWest Airlines Inc.,Carrier,43.03317336,33.9
2,"Aberdeen, SD: Aberdeen Regional",SkyWest Airlines Inc.,Late Aircraft,53.67946061,21.69
3,"Aberdeen, SD: Aberdeen Regional",SkyWest Airlines Inc.,National Air Systems,42.99913496,25.41
4,"Abilene, TX: Abilene Regional",American Eagle Airlines Inc.,Carrier,59.6914834,33.73
5,"Abilene, TX: Abilene Regional",American Eagle Airlines Inc.,Late Aircraft,57.35664701,46.57
6,"Abilene, TX: Abilene Regional",American Eagle Airlines Inc.,National Air Systems,40.85634063,20.82
7,"Abilene, TX: Abilene Regional",American Eagle Airlines Inc.,Weather,51.25886479,11.88
8,"Abilene, TX: Abilene Regional",Envoy Air,Carrier,42.23522201,170.17
9,"Abilene, TX: Abilene Regional",Envoy Air,Late Aircraft,56.52123439,165.3
10,"Abilene, TX: Abilene Regional",Envoy Air,National Air Systems,39.57075425,93.39
11,"Abilene, TX: Abilene Regional",Envoy Air,Security,33.45157628,6.78
12,"Abilene, TX: Abilene Regional",Envoy Air,Weather,85.9566797,57.33
13,"Abilene, TX: Abilene Regional",ExpressJet Airlines Inc.,Carrier,56.96434725,15.3
14,"Abilene, TX: Abilene Regional",ExpressJet Airlines Inc.,Late Aircraft,49.65006177,25.39
15,"Abilene, TX: Abilene Regional",ExpressJet Airlines Inc.,National Air Systems,36.82503889,6.31
16,"Adak Island, AK: Adak",Alaska Airlines Inc.,Carrier,56.80261969,5.72
17,"Adak Island, AK: Adak",Alaska Airlines Inc.,Late Aircraft,51,3
18,"Adak Island, AK: Adak",Alaska Airlines Inc.,National Air Systems,31.33333333,2.28
19,"Adak Island, AK: Adak",Alaska Airlines Inc.,Security,31,1
20,"Adak Island, AK: Adak",Alaska Airlines Inc.,Weather,60,1
21,"Aguadilla, PR: Rafael Hernandez",JetBlue Airways,Carrier,46.39033616,103.03
22,"Aguadilla, PR: Rafael Hernandez",JetBlue Airways,Late Aircraft,64.22757492,41.84
23,"Aguadilla, PR: Rafael Hernandez",JetBlue Airways,National Air Systems,31.14699869,95.81
24,"Aguadilla, PR: Rafael Hernandez",JetBlue Airways,Security,97.32620321,0.61
25,"Aguadilla, PR: Rafael Hernandez",JetBlue Airways,Weather,97.06857439,6.71
26,"Aguadilla, PR: Rafael Hernandez",United Air Lines Inc.,Carrier,52.26786329,41.06
27,"Aguadilla, PR: Rafael Hernandez",United Air Lines Inc.,Late Aircraft,75.85311708,31.27
28,"Aguadilla, PR: Rafael Hernandez",United Air Lines Inc.,National Air Systems,52.18802342,20
29,"Aguadilla, PR: Rafael Hernandez",United Air Lines Inc.,Weather,120.0859637,6.65
30,"Akron, OH: Akron-Canton Regional",AirTran Airways Corporation,Carrier,53.78302682,65.36
31,"Akron, OH: Akron-Canton Regional",AirTran Airways Corporation,Late Aircraft,74.65816627,209.42
32,"Akron, OH: Akron-Canton Regional",AirTran Airways Corporation,National Air Systems,37.70693496,55.9
33,"Akron, OH: Akron-Canton Regional",AirTran Airways Corporation,Weather,62.45566148,7.31
34,"Akron, OH: Akron-Canton Regional",Delta Air Lines Inc.,Carrier,42.44953883,54.1
35,"Akron, OH: Akron-Canton Regional",Delta Air Lines Inc.,Late Aircraft,46.09535487,42.72
36,"Akron, OH: Akron-Canton Regional",Delta Air Lines Inc.,National Air Systems,31.54639868,29.66
37,"Akron, OH: Akron-Canton Regional",Delta Air Lines Inc.,Weather,63.12224591,9.51
38,"Akron, OH: Akron-Canton Regional",ExpressJet Airlines Inc.,Carrier,58.42041372,121.58
39,"Akron, OH: Akron-Canton Regional",ExpressJet Airlines Inc.,Late Aircraft,62.64537889,160.05
40,"Akron, OH: Akron-Canton Regional",ExpressJet Airlines Inc.,National Air Systems,51.4259052,100.19
41,"Akron, OH: Akron-Canton Regional",ExpressJet Airlines Inc.,Weather,99.39963054,4.19
42,"Akron, OH: Akron-Canton Regional",Southwest Airlines Co.,Carrier,61.9752913,172.85
43,"Akron, OH: Akron-Canton Regional",Southwest Airlines Co.,Late Aircraft,70.94588099,339.88
44,"Akron, OH: Akron-Canton Regional",Southwest Airlines Co.,National Air Systems,38.11821283,59.99
45,"Akron, OH: Akron-Canton Regional",Southwest Airlines Co.,Security,20,1
46,"Akron, OH: Akron-Canton Regional",Southwest Airlines Co.,Weather,108.5801356,5.31
47,"Albany, GA: Southwest Georgia Regional",ExpressJet Airlines Inc.,Carrier,51.76564947,91.42
48,"Albany, GA: Southwest Georgia Regional",ExpressJet Airlines Inc.,Late Aircraft,44.05789445,74.31
49,"Albany, GA: Southwest Georgia Regional",ExpressJet Airlines Inc.,National Air Systems,50.18389762,23.01
50,"Albany, GA: Southwest Georgia Regional",ExpressJet Airlines Inc.,Weather,99.67169622,3.28
51,"Albany, NY: Albany International",Delta Air Lines Inc.,Carrier,45.62200069,64.84
52,"Albany, NY: Albany International",Delta Air Lines Inc.,Late Aircraft,45.19037911,47.61
53,"Albany, NY: Albany International",Delta Air Lines Inc.,National Air Systems,31.2724318,46.24
54,"Albany, NY: Albany International",Delta Air Lines Inc.,Weather,69.52227792,10.31
55,"Albany, NY: Albany International",ExpressJet Airlines Inc.,Carrier,57.31047009,113.34
56,"Albany, NY: Albany International",ExpressJet Airlines Inc.,Late Aircraft,64.75767642,101.07
57,"Albany, NY: Albany International",ExpressJet Airlines Inc.,National Air Systems,52.61887824,55.18
58,"Albany, NY: Albany International",ExpressJet Airlines Inc.,Security,32.0754717,0.53
59,"Albany, NY: Albany International",ExpressJet Airlines Inc.,Weather,90.32865613,4.89
60,"Albany, NY: Albany International",SkyWest Airlines Inc.,Carrier,54.98694262,9.54
61,"Albany, NY: Albany International",SkyWest Airlines Inc.,Late Aircraft,95.60714306,16.11
62,"Albany, NY: Albany International",SkyWest Airlines Inc.,National Air Systems,33.44664591,15.29
63,"Albany, NY: Albany International",SkyWest Airlines Inc.,Weather,66.66666667,0.06
64,"Albany, NY: Albany International",Southwest Airlines Co.,Carrier,51.60388803,528.53
65,"Albany, NY: Albany International",Southwest Airlines Co.,Late Aircraft,60.6537473,520.5
66,"Albany, NY: Albany International",Southwest Airlines Co.,National Air Systems,40.02767172,138.48
67,"Albany, NY: Albany International",Southwest Airlines Co.,Security,64,1
68,"Albany, NY: Albany International",Southwest Airlines Co.,Weather,83.48507013,27.47
69,"Albany, NY: Albany International",United Air Lines Inc.,Carrier,67.23634294,82.23
70,"Albany, NY: Albany International",United Air Lines Inc.,Late Aircraft,84.18816167,82.81
71,"Albany, NY: Albany International",United Air Lines Inc.,National Air Systems,46.87369588,35.14
